,0,1,2,3,4,5,6
0,Date,Open,High,Low,Close,Adj Close,Volume
204,2022-02-18,104.510002,105.570000,104.150002,104.620003,103.720947,894800
205,2022-02-22,105.059998,105.309998,103.489998,104.510002,103.611893,1523700
206,2022-02-23,104.500000,106.919998,104.070000,104.739998,103.839905,1638100
207,2022-02-24,103.820000,104.230003,100.180000,102.320000,101.440704,1457400
208,2022-02-25,103.650002,106.029999,103.360001,105.580002,104.672691,1419600
209,2022-02-28,104.639999,105.720001,104.150002,105.209999,104.305870,1623300
210,2022-03-01,105.309998,105.800003,102.900002,103.860001,102.967476,1113200
211,2022-03-02,103.709999,107.129997,103.709999,106.620003,105.703758,1496300
212,2022-03-03,106.930000,110.000000,106.900002,109.360001,108.420212,1254200
213,2022-03-04,108.639999,112.320000,108.300003,112.239998,111.275459,1784900
214,2022-03-07,112.220001,112.419998,110.519997,111.860001,110.898727,1182500
215,2022-03-08,112.000000,112.500000,109.349998,109.389999,108.449951,843300
216,2022-03-09,110.419998,110.849998,107.879997,107.980003,107.052071,1833100
217,2022-03-10,107.199997,109.239998,107.190002,109.010002,108.073219,1166900
218,2022-03-11,108.519997,109.410004,108.260002,108.750000,107.815453,885500
219,2022-03-14,109.949997,110.699997,109.010002,110.269997,109.322388,811200
220,2022-03-15,111.750000,112.070000,110.739998,111.250000,110.293968,1181400
221,2022-03-16,111.309998,111.610001,109.209999,110.519997,109.570236,966700
222,2022-03-17,110.000000,111.010002,109.680000,110.389999,109.441353,1403500
223,2022-03-18,110.629997,110.820000,108.550003,109.449997,108.509430,2216100
224,2022-03-21,110.209999,111.029999,109.629997,110.769997,109.818085,1080600
225,2022-03-22,111.629997,111.629997,109.360001,109.680000,108.737457,960000
226,2022-03-23,109.809998,111.389999,109.199997,110.849998,109.897400,796700
227,2022-03-24,111.029999,112.849998,111.029999,112.730003,111.761253,954100
228,2022-03-25,113.470001,115.050003,113.110001,114.830002,113.843201,767900
229,2022-03-28,114.900002,115.370003,113.900002,115.339996,114.348816,730300
230,2022-03-29,115.680000,116.400002,114.570000,116.370003,115.369972,695000
231,2022-03-30,116.029999,117.120003,115.699997,117.040001,116.034210,624700
